"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"BT1";"CR2450";"CR2450";"BATTCON_24.5MM";"";"";"";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C4";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C5";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C6";"22pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C9";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C10";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C11";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C13";"4.7uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"C15";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";
"D1";"Ext Pwr";"LED3MM";"LED3MM";"LED";"";"";
"D2";"Red";"LED3MM";"LED3MM";"LED";"";"";
"D3";"Yellow";"LED3MM";"LED3MM";"LED";"";"";
"D4";"Green";"LED3MM";"LED3MM";"LED";"";"";
"J1";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";
"J2";"SPI_Prog";"AVR_SPI_PROG_3X2PTH";"2X3";"AVR ISP 6 Pin";"";"";
"J3";"FTDI_Prog";"CONN_06NO_SILK_FEMALE_PTH";"1X06_NO_SILK";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08437";"";
"JP1";"PWRUSB";"MICROUSBSMD";"MICROUSBSMD";"";"";"";
"JP2";"SENSOR";"MICROUSBSMD";"MICROUSBSMD";"";"";"";
"M1";"WIRELESS-NRF24L01SMD2";"WIRELESS-NRF24L01SMD2";"WIRELESS-NRF24L01-SMD-2";"2.4 GHz Wireless Module based on NRF24L01 chip";"";"";
"R1";"56K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R2";"1K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R3";"10K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R4";"180R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R5";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R6";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R7";"100R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R8";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"R9";"470K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";"";
"SW1";"RESET";"SMD5X5X1.5MM";"SMD5X5X1.5MM";"";"";"";
"U1";"AT25DF512C";"AT25DF512C";"SOIC-8";"";"";"";
"U2";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"IC-09069";"ATMEGA328P_TQFP";
"U3";"";"LD1117V33";"SOC-223";"";"";"";
"U4";"ATSHA204A";"ATSHA204A";"SOT23";"";"";"";
"U5";"RFM95W";"WIRELESS-LORA-RFM95W#SMD";"WIRELESS-LORA-RFM95W#SMD";"868/915 MHz LoRa Radio Transceiver Module based on SX1276 chip";"";"";
"X1";"8Mhz";"HC-49S-SMT";"HC-49S-SMT";"";"";"";
